ds,upper bound,forecast,lower bound
2019-05-05,$37891.99,$35639.45,$32078.58
2019-05-04,$41121.12,$39016.92,$35414.88
2019-05-03,$44330.08,$42556.82,$38858.19
2019-05-02,$36235.28,$34268.67,$30696.14
2019-05-01,$32701.48,$30401.2,$26842.81
2019-04-30,$30934.88,$28642.32,$25130.39
2019-04-29,$28900.56,$26783.41,$23524.57
2019-04-28,$36331.52,$34077.65,$30581.88
2019-04-27,$39450.93,$37296.34,$33834.5
2019-04-26,$42691.07,$40668.24,$37213.23
2019-04-25,$34979.16,$32738.2,$29169.18
2019-04-24,$31134.73,$29034.74,$25746.37
2019-04-23,$29387.08,$27346.59,$23975.57
2019-04-22,$27967.12,$25563.9,$22227.9
2019-04-21,$34615.11,$32515.86,$28934.67
2019-04-20,$37698.54,$35575.77,$31853.06
2019-04-19,$40813.09,$38779.66,$35164.3
2019-04-18,$33598.99,$31207.73,$27540.83
2019-04-17,$29834.89,$27668.27,$24450.05
2019-04-16,$28519.3,$26050.86,$22640.28
2019-04-15,$26715.27,$24344.38,$21052.38
2019-04-14,$33156.94,$30954.06,$27773.92
2019-04-13,$36038.34,$33855.19,$30202.3
2019-04-12,$39034.95,$36891.08,$33274.51
2019-04-11,$32095.79,$29677.26,$26113.89
2019-04-10,$28519.35,$26301.81,$22869.92
2019-04-09,$27049.78,$24755.14,$21513.62
2019-04-08,$25591.05,$23124.87,$19571.76
2019-04-07,$31619.62,$29392.26,$25753.0
2019-04-06,$34437.54,$32134.61,$28909.66
2019-04-05,$37071.82,$35002.5,$31481.0
2019-04-04,$30379.39,$28146.78,$24737.41
2019-04-03,$27204.14,$24935.34,$21512.95
2019-04-02,$25861.28,$23459.41,$20007.23
2019-04-01,$24322.18,$21905.35,$18564.63
2019-03-31,$30277.83,$27830.46,$24524.59
2019-03-30,$32706.58,$30414.03,$27144.94
2019-03-29,$35223.51,$33113.92,$29616.48
2019-03-28,$28765.99,$26616.31,$23141.24
2019-03-27,$25820.2,$23568.88,$20375.07
2019-03-26,$24463.2,$22163.68,$18730.74
2019-03-25,$23055.94,$20685.84,$17671.16
2019-03-24,$28680.86,$26268.66,$23068.78
2019-03-23,$31043.73,$28693.45,$25463.35
2019-03-22,$33491.94,$31225.34,$27805.91
2019-03-21,$27468.62,$25085.84,$21957.74
2019-03-20,$24675.84,$22202.41,$19152.3
2019-03-19,$23413.69,$20867.95,$17527.62
2019-03-18,$21750.46,$19466.32,$16128.92
2019-03-17,$27219.91,$24706.86,$21492.32
2019-03-16,$29084.87,$26972.88,$23584.19
2019-03-15,$31572.36,$29336.77,$25955.09
2019-03-14,$25975.11,$23555.37,$20089.54
2019-03-13,$23445.46,$20835.95,$17769.13
2019-03-12,$22033.77,$19572.23,$16277.97
2019-03-11,$20627.96,$18246.81,$14937.51
2019-03-10,$25203.74,$23145.06,$19872.26
2019-03-09,$27648.23,$25252.3,$21974.15
2019-03-08,$29677.71,$27448.19,$24216.41
2019-03-07,$24369.05,$22024.9,$18785.33
2019-03-06,$21839.34,$19469.48,$16182.6
2019-03-05,$20772.52,$18276.5,$15191.13
2019-03-04,$19412.62,$17027.29,$13815.05
2019-03-03,$23928.27,$21583.27,$18375.88
2019-03-02,$25908.78,$23531.72,$20168.08
2019-03-01,$27813.88,$25559.61,$22076.06
2019-02-28,$22809.59,$20494.43,$17341.99
2019-02-27,$20637.98,$18103.02,$14884.74
2019-02-26,$19636.36,$16980.77,$13761.4
2019-02-25,$18311.68,$15807.78,$12594.56
2019-02-24,$22486.86,$20021.47,$16981.01
2019-02-23,$24127.09,$21811.14,$18458.32
2019-02-22,$25910.36,$23671.03,$20284.87
2019-02-21,$21293.14,$18963.96,$15665.2
2019-02-20,$19294.86,$16736.55,$13627.26
2019-02-19,$18381.29,$15685.05,$12772.01
2019-02-18,$17169.98,$14588.26,$11425.05
2019-02-17,$20973.01,$18459.67,$15196.88
2019-02-16,$22397.05,$20090.57,$16960.18
2019-02-15,$24331.8,$21782.45,$18608.86
2019-02-14,$19854.27,$17433.48,$14368.98
2019-02-13,$17762.45,$15370.09,$12213.45
2019-02-12,$16838.39,$14389.32,$11258.33
2019-02-11,$16063.43,$13368.75,$10308.45
2019-02-10,$19480.43,$16897.87,$13631.15
2019-02-09,$20935.59,$18369.99,$15037.01
2019-02-08,$22438.32,$19893.87,$16664.0
2019-02-07,$18363.64,$15903.01,$12762.87
2019-02-06,$16629.37,$14003.62,$10939.8
2019-02-05,$15418.64,$13093.59,$10196.79
2019-02-04,$14669.82,$12149.24,$9090.25
