ds,upper bound,forecast,lower bound
2019-08-26,$54682.26,$46958.14,$38726.44
2019-08-25,$70517.16,$60831.64,$49955.34
2019-08-24,$76039.99,$66179.3,$54183.29
2019-08-23,$82845.97,$72415.61,$60079.13
2019-08-22,$66812.18,$58395.76,$48559.63
2019-08-21,$59787.59,$51818.92,$42892.0
2019-08-20,$56445.58,$48966.39,$40331.79
2019-08-19,$52727.12,$45748.06,$38080.31
2019-08-18,$68298.59,$59258.26,$49527.53
2019-08-17,$73314.52,$64461.25,$53684.45
2019-08-16,$79867.9,$70528.67,$59196.96
2019-08-15,$64221.09,$56868.45,$48353.05
2019-08-14,$57528.94,$50458.54,$42334.02
2019-08-13,$53984.13,$47676.05,$40634.38
2019-08-12,$50598.92,$44537.98,$37401.57
2019-08-11,$65487.98,$57684.87,$49043.25
2019-08-10,$70726.42,$62743.21,$53302.47
2019-08-09,$76967.97,$68641.72,$58790.08
2019-08-08,$62305.03,$55341.14,$47009.8
2019-08-07,$55180.99,$49098.16,$42321.49
2019-08-06,$52059.86,$46385.72,$39897.5
2019-08-05,$49044.78,$43327.89,$37071.83
2019-08-04,$62522.89,$56111.49,$48397.4
2019-08-03,$67500.23,$61025.16,$53123.76
2019-08-02,$73868.46,$66754.78,$58215.55
2019-08-01,$59583.32,$53813.83,$47217.72
2019-07-31,$53011.19,$47737.78,$41294.14
2019-07-30,$49742.31,$45095.38,$39475.07
2019-07-29,$46600.59,$42117.81,$36893.93
2019-07-28,$60305.91,$54538.1,$47902.5
2019-07-27,$65234.36,$59307.11,$52179.84
2019-07-26,$70881.32,$64867.83,$57446.72
2019-07-25,$57633.83,$52286.51,$45992.57
2019-07-24,$51026.35,$46377.4,$41137.14
2019-07-23,$48311.78,$43805.05,$38573.17
2019-07-22,$45082.65,$40907.73,$36271.76
2019-07-21,$57837.04,$52964.72,$46907.61
2019-07-20,$62557.84,$57589.06,$51236.77
2019-07-19,$68035.65,$62980.89,$56374.89
2019-07-18,$54852.34,$50759.2,$45229.11
2019-07-17,$48998.4,$45017.02,$40021.61
2019-07-16,$46153.12,$42514.71,$38020.21
2019-07-15,$43580.52,$39697.65,$35550.81
2019-07-14,$55429.12,$51391.33,$46297.01
2019-07-13,$60241.94,$55871.01,$50562.69
2019-07-12,$65690.0,$61093.95,$55851.1
2019-07-11,$53095.04,$49231.89,$44804.28
2019-07-10,$47043.12,$43656.63,$39293.05
2019-07-09,$44729.04,$41224.38,$36953.14
2019-07-08,$41890.35,$38487.57,$34403.03
2019-07-07,$53280.02,$49817.94,$45372.17
2019-07-06,$57945.15,$54152.96,$49260.49
2019-07-05,$62445.55,$59207.0,$54171.9
2019-07-04,$51238.82,$47704.58,$43616.28
2019-07-03,$45424.08,$42296.25,$38492.41
2019-07-02,$43249.69,$39934.05,$36143.3
2019-07-01,$40211.81,$37277.48,$33571.83
2019-06-30,$51181.51,$48244.56,$44294.96
2019-06-29,$55592.5,$52434.91,$48094.47
